"#","ML Number","Status","Address","City","Zip","Legal Subdivision Name","Heated Area","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Tax","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP / SqFt","SP/SqFt","SP / LP","List Office","List Agent","List Agent ID","Selling Office ID","Selling Agent ID","LSC List Side","List Office Primary Board ID"
"1","G5049560","SLD","1230 OSPREY NEST CIR","GROVELAND","34736","GROVELAND OSPREY COVE PH 02","1,511","$280,000","3","2","0","2015","None","Single Family Residence","$1,648.90","8","8","15","Conventional","01/19/2022","$188.29","$185.31","0.98","RIGHT REALTY CONNECTION, INC.","Deepak Ramchandani","279502737","260031891","727005287","Lake and Sumter","Lake and Sumter"
"1","G5049920","SLD","1213 DEMOISELLE ST","GROVELAND","34736","CRANE'S LANDING EAST","1,444","$285,000","3","2","0","2004","None","Single Family Residence","$2,808.00","4","4","5","FHA","01/20/2022","$193.84","$197.37","1.02","BEACON REAL ESTATE & ASSOC","Al Spry","260504599","260503461","260505692","Lake and Sumter","Lake and Sumter"
"1","O5954537","SLD","16517 CHERRY LANDING DR","GROVELAND","34736","CHERRY LAKE LANDING REP SUB","1,576","$285,000","3","2","0","2018","None","Single Family Residence","$3,621.23","4","4","4","Cash","03/01/2022","$174.49","$180.84","1.04","SUNSHINE STATE REALTY","Jennifer Dunphy","261068163","261011729","261095222","Orlando Regional","Orlando Regional"
"1","T3323497","SLD","1861 HEART LAKE DR","GROVELAND","34736","TRINITY LAKES 40","1,444","$289,705","3","2","0","2021","Community","Single Family Residence","$1,798.93","3","3","3","VA","03/28/2022","$200.63","$200.63","1.00","LENNAR REALTY","Ben Goldstein","261550712","56309","261226073","Tampa","Tampa"
"1","D6124342","SLD","6640 MARYLAND AVE","GROVELAND","34736","VILLA CITY","1,528","$290,000","3","2","0","1987","None","Single Family Residence","$1,171.00","4","4","4","Conventional","06/06/2022","$182.59","$189.79","1.04","MEDWAY REALTY","Ken Parker","256023182","261011490","272562900","Englewood","Venice"
"1","U8151847","SLD","715 E ANDERSON RD","GROVELAND","34736","GROVELAND LITTLE OAKS","1,260","$290,000","3","2","0","1990","None","Single Family Residence","$2,060.00","13","13","13","Conventional","03/22/2022","$229.37","$230.16","1.00","CHARLES RUTENBERG REALTY INC","Susan Troyer","260032177","261012242","261091995","Pinellas Suncoast","Pinellas Suncoast"
"1","G5050658","SLD","535 E WALDO ST","GROVELAND","34736","GROVELAND","1,252","$290,000","3","2","0","1950","None","Single Family Residence","$2,769.00","3","3","3","Conventional","02/28/2022","$227.64","$231.63","1.02","COLDWELL BANKER TONY HUBBARD","April Kirkland","260565348","52403","261221951","Lake and Sumter","Lake and Sumter"
"1","G5049786","SLD","1028 SANDHILL ST","GROVELAND","34736","CRANES LANDING EAST","1,435","$290,000","3","2","0","2003","None","Single Family Residence","$2,977.00","8","8","8","VA","01/24/2022","$223.00","$202.09","0.91","ARELLANO REALTY & INVESTMENTS","Susie Westbrook","260562270","261015120","260502151","Lake and Sumter","Lake and Sumter"
"1","O6003952","SLD","15611 CATHERINE CIR","GROVELAND","34736","LAKE CATHERINE ESTATES","1,387","$292,000","3","2","0","1994","None","Single Family Residence","$2,721.00","11","11","11","Conventional","04/28/2022","$227.11","$210.53","0.93","PROPERTY LOGIC RE","Mark D'Italia","261206149","20515","260562375","Orlando Regional","Orlando Regional"
"1","O5982909","SLD","126 FLAME VINE WAY","GROVELAND","34736","GROVELAND CASCADES ","1,736","$292,500","2","2","0","2006","None","Single Family Residence","$4,127.00","54","54","54","Conventional","01/31/2022","$169.87","$168.49","0.99","EXP REALTY LLC","Veronica Figueroa","272502305","260505076","260562593","Orlando Regional","Orlando Regional"
"1","J943723","SLD","6816 PERCH HAMMOCK LOOP","GROVELAND","34736","TRINITY LAKES","1,461","$292,705","3","2","0","2022","Community","Single Family Residence","$1,798.93","0","0","-142","Private","03/03/2022","$200.35","$200.35","1.00","STELLAR NON-MEMBER OFFICE","Stellar Non-Member Agent","123456789","260501836","260503635","For Future Use","Other"
